"timestamp","date","day","hr","location","price","last4ccnum","wkday","loyaltynum","ccard","cardtype","VehID","Department"
2014-01-06 08:16:00,2014-01-06,6,8,"Brew Served",14.97,"1286","Monday","L3572","1286","both","22","Security"
2014-01-06 13:27:00,2014-01-06,6,13,"Abila Zacharo",50.14,"1286","Monday","L3288","1286","both","22","Security"
2014-01-07 07:54:00,2014-01-07,7,7,"Brew Served",11.92,"1286","Tuesday","L3572","1286","both","22","Security"
2014-01-07 13:24:00,2014-01-07,7,13,"Kalami Kafenion",45.05,"1286","Tuesday","L3288","1286","both","22","Security"
2014-01-08 08:16:00,2014-01-08,8,8,"Brew Served",7.26,"1286","Wednesday","L3572","1286","both","22","Security"
2014-01-08 13:38:00,2014-01-08,8,13,"Gelatogalore",50.36,"1286","Wednesday","L3288","1286","both","22","Security"
2014-01-08 20:12:00,2014-01-08,8,20,"Ouzeri Elian",62.2,"1286","Wednesday","L3288","1286","both","22","Security"
2014-01-09 08:14:00,2014-01-09,9,8,"Brew Served",17.64,"1286","Thursday","L3572","1286","both","22","Security"
2014-01-09 13:47:00,2014-01-09,9,13,"Abila Zacharo",48.39,"1286","Thursday","L3288","1286","both","22","Security"
2014-01-09 20:24:00,2014-01-09,9,20,"Guy Gyros",18.26,"1286","Thursday","L3572","1286","both","22","Security"
2014-01-10 08:01:00,2014-01-10,10,8,"Brew Served",5.89,"1286","Friday","L3572","1286","both","22","Security"
2014-01-11 20:04:00,2014-01-11,11,20,"Kalami Kafenion",50.2,"1286","Saturday","L3288","1286","both","22","Security"
2014-01-12 13:40:00,2014-01-12,12,13,"Gelatogalore",20.09,"1286","Sunday",NA,"1286","credit","22","Security"
2014-01-12 15:24:00,2014-01-12,12,15,"Shoppers Delight",86.22,"1286","Sunday","L3572","1286","both","22","Security"
2014-01-12 19:50:00,2014-01-12,12,19,"Gelatogalore",36.2,"1286","Sunday","L3288","1286","both","22","Security"
2014-01-13 08:07:00,2014-01-13,13,8,"Brew Served",11.49,"1286","Monday","L3572","1286","both","22","Security"
2014-01-13 13:21:00,2014-01-13,13,13,"Abila Zacharo",64.5,"1286","Monday","L3288","1286","both","22","Security"
2014-01-13 20:42:00,2014-01-13,13,20,"Guy Gyros",88.57,"1286","Monday",NA,"1286","credit","22","Security"
2014-01-14 08:03:00,2014-01-14,14,8,"Brew Served",3.21,"1286","Tuesday","L3572","1286","both","22","Security"
2014-01-14 13:59:00,2014-01-14,14,13,"Guy Gyros",50.4,"1286","Tuesday","L3288","1286","both","22","Security"
2014-01-15 07:49:00,2014-01-15,15,7,"Brew Served",11.23,"1286","Wednesday","L3572","1286","both","22","Security"
2014-01-15 13:27:00,2014-01-15,15,13,"Katerina Cafe",55.6,"1286","Wednesday","L3288","1286","both","22","Security"
2014-01-15 21:05:00,2014-01-15,15,21,"Guy Gyros",27.01,"1286","Wednesday","L3572","1286","both","22","Security"
2014-01-16 07:52:00,2014-01-16,16,7,"Brew Served",12.67,"1286","Thursday","L3572","1286","both","22","Security"
2014-01-16 13:22:00,2014-01-16,16,13,"Abila Zacharo",64.71,"1286","Thursday","L3288","1286","both","22","Security"
2014-01-16 20:50:00,2014-01-16,16,20,"Shoppers Delight",16.84,"1286","Thursday","L3572","1286","both","22","Security"
2014-01-17 08:23:00,2014-01-17,17,8,"Brew Served",51.04,"1286","Friday",NA,"1286","credit","22","Security"
2014-01-17 13:38:00,2014-01-17,17,13,"Hippokampos",52.31,"1286","Friday","L3288","1286","both","22","Security"
2014-01-17 20:21:00,2014-01-17,17,20,"Shoppers Delight",289.33,"1286","Friday",NA,"1286","credit","22","Security"
2014-01-18 14:51:00,2014-01-18,18,14,"Ahaggo Museum",55.55,"1286","Saturday","L3288","1286","both","22","Security"
2014-01-18 20:01:00,2014-01-18,18,20,"Hippokampos",49.21,"1286","Saturday","L3288","1286","both","22","Security"
2014-01-19 19:45:00,2014-01-19,19,19,"Guy Gyros",23.21,"1286","Sunday","L3288","1286","both","22","Security"
NA,2014-01-17,17,NA,"Brew Served",11.04,NA,"Friday","L3572","1286","loyalty","22","Security"
NA,2014-01-13,13,NA,"Guy Gyros",28.57,NA,"Monday","L3572","1286","loyalty","22","Security"
NA,2014-01-17,17,NA,"Shoppers Delight",269.33,NA,"Friday","L3572","1286","loyalty","22","Security"
2014-01-06 13:39:00,2014-01-06,6,13,"Guy Gyros",11.22,"1310","Monday","L8012","1310","both","26","Engineering"
2014-01-06 21:32:00,2014-01-06,6,21,"Frydos Autosupply",314.98,"1310","Monday",NA,"1310","credit","26","Engineering"
2014-01-07 07:47:00,2014-01-07,7,7,"Hallowed Grounds",7.88,"1310","Tuesday","L8012","1310","both","26","Engineering"
2014-01-07 13:30:00,2014-01-07,7,13,"Gelatogalore",51.64,"1310","Tuesday",NA,"1310","credit","26","Engineering"
2014-01-07 21:19:00,2014-01-07,7,21,"Katerina Cafe",18.35,"1310","Tuesday","L8012","1310","both","26","Engineering"
2014-01-08 07:39:00,2014-01-08,8,7,"Hallowed Grounds",8.28,"1310","Wednesday",NA,"1310","credit","26","Engineering"
2014-01-08 13:34:00,2014-01-08,8,13,"Katerina Cafe",88.98,"1310","Wednesday",NA,"1310","credit","26","Engineering"
2014-01-08 20:08:00,2014-01-08,8,20,"Katerina Cafe",31.59,"1310","Wednesday","L8012","1310","both","26","Engineering"
2014-01-09 07:37:00,2014-01-09,9,7,"Hallowed Grounds",17.56,"1310","Thursday","L8012","1310","both","26","Engineering"
2014-01-09 13:51:00,2014-01-09,9,13,"Hippokampos",13.84,"1310","Thursday","L8012","1310","both","26","Engineering"
2014-01-09 21:18:00,2014-01-09,9,21,"Katerina Cafe",8.57,"1310","Thursday","L8012","1310","both","26","Engineering"
2014-01-10 07:41:00,2014-01-10,10,7,"Hallowed Grounds",11.49,"1310","Friday","L8012","1310","both","26","Engineering"
2014-01-10 13:36:00,2014-01-10,10,13,"Abila Zacharo",36.73,"1310","Friday","L8012","1310","both","26","Engineering"
2014-01-11 13:32:00,2014-01-11,11,13,"Abila Zacharo",54.82,"1310","Saturday","L8012","1310","both","26","Engineering"
2014-01-11 16:00:00,2014-01-11,11,16,"Roberts and Sons",256.24,"1310","Saturday",NA,"1310","credit","26","Engineering"
2014-01-11 19:51:00,2014-01-11,11,19,"Katerina Cafe",45.68,"1310","Saturday","L8012","1310","both","26","Engineering"
2014-01-12 13:30:00,2014-01-12,12,13,"Ouzeri Elian",72.32,"1310","Sunday","L8012","1310","both","26","Engineering"
2014-01-12 15:10:00,2014-01-12,12,15,"Shoppers Delight",135.78,"1310","Sunday","L8012","1310","both","26","Engineering"
2014-01-13 07:42:00,2014-01-13,13,7,"Hallowed Grounds",3.02,"1310","Monday",NA,"1310","credit","26","Engineering"
2014-01-13 13:48:00,2014-01-13,13,13,"Ouzeri Elian",8.32,"1310","Monday","L8012","1310","both","26","Engineering"
2014-01-13 20:33:00,2014-01-13,13,20,"Katerina Cafe",91.36,"1310","Monday",NA,"1310","credit","26","Engineering"
2014-01-14 07:42:00,2014-01-14,14,7,"Hallowed Grounds",4.59,"1310","Tuesday","L8012","1310","both","26","Engineering"
2014-01-14 13:37:00,2014-01-14,14,13,"Abila Zacharo",10.24,"1310","Tuesday","L8012","1310","both","26","Engineering"
2014-01-15 08:00:00,2014-01-15,15,8,"Hallowed Grounds",15.27,"1310","Wednesday",NA,"1310","credit","26","Engineering"
2014-01-15 14:00:00,2014-01-15,15,14,"Katerina Cafe",12.12,"1310","Wednesday","L8012","1310","both","26","Engineering"
2014-01-15 20:23:00,2014-01-15,15,20,"Katerina Cafe",39.63,"1310","Wednesday","L8012","1310","both","26","Engineering"
2014-01-16 07:51:00,2014-01-16,16,7,"Hallowed Grounds",9.6,"1310","Thursday",NA,"1310","credit","26","Engineering"
2014-01-16 13:54:00,2014-01-16,16,13,"Hippokampos",8.07,"1310","Thursday",NA,"1310","credit","26","Engineering"
2014-01-17 07:31:00,2014-01-17,17,7,"Hallowed Grounds",3.25,"1310","Friday","L8012","1310","both","26","Engineering"
2014-01-17 13:40:00,2014-01-17,17,13,"Gelatogalore",37.3,"1310","Friday",NA,"1310","credit","26","Engineering"
2014-01-17 20:07:00,2014-01-17,17,20,"Katerina Cafe",21.22,"1310","Friday","L8012","1310","both","26","Engineering"
2014-01-18 19:54:00,2014-01-18,18,19,"Katerina Cafe",33.63,"1310","Saturday","L8012","1310","both","26","Engineering"
2014-01-19 14:01:00,2014-01-19,19,14,"Katerina Cafe",12.78,"1310","Sunday",NA,"1310","credit","26","Engineering"
NA,2014-01-06,6,NA,"Frydos Autosupply",274.98,NA,"Monday","L8012","1310","loyalty","26","Engineering"
NA,2014-01-13,13,NA,"Katerina Cafe",11.36,NA,"Monday","L8012","1310","loyalty","26","Engineering"
2014-01-06 12:00:00,2014-01-06,6,12,"Bean There",5.24,"1321","Monday","L4149","1321","both","11","Engineering"
2014-01-06 13:47:00,2014-01-06,6,13,"Kalami Kafenion",22.13,"1321","Monday",NA,"1321","credit","11","Engineering"
2014-01-06 20:20:00,2014-01-06,6,20,"Hippokampos",35.34,"1321","Monday","L4149","1321","both","11","Engineering"
2014-01-07 12:00:00,2014-01-07,7,12,"Bean There",8.03,"1321","Tuesday","L4149","1321","both","11","Engineering"
2014-01-07 13:56:00,2014-01-07,7,13,"Ouzeri Elian",16.2,"1321","Tuesday",NA,"1321","credit","11","Engineering"
2014-01-07 20:34:00,2014-01-07,7,20,"Hippokampos",70.19,"1321","Tuesday",NA,"1321","credit","11","Engineering"
2014-01-08 12:00:00,2014-01-08,8,12,"Bean There",94.96,"1321","Wednesday",NA,"1321","credit","11","Engineering"
2014-01-08 13:31:00,2014-01-08,8,13,"Hippokampos",37.89,"1321","Wednesday","L4149","1321","both","11","Engineering"
2014-01-09 12:00:00,2014-01-09,9,12,"Bean There",15.53,"1321","Thursday",NA,"1321","credit","11","Engineering"
2014-01-09 13:37:00,2014-01-09,9,13,"Hippokampos",9.12,"1321","Thursday","L4149","1321","both","11","Engineering"
2014-01-09 20:21:00,2014-01-09,9,20,"Frydos Autosupply",120.65,"1321","Thursday",NA,"1321","credit","11","Engineering"
2014-01-10 12:00:00,2014-01-10,10,12,"Bean There",18.67,"1321","Friday","L4149","1321","both","11","Engineering"
2014-01-10 13:52:00,2014-01-10,10,13,"Guy Gyros",31.05,"1321","Friday","L4149","1321","both","11","Engineering"
2014-01-11 13:50:00,2014-01-11,11,13,"Katerina Cafe",23.45,"1321","Saturday","L4149","1321","both","11","Engineering"
2014-01-12 19:22:00,2014-01-12,12,19,"Hippokampos",27.15,"1321","Sunday","L4149","1321","both","11","Engineering"
2014-01-13 12:00:00,2014-01-13,13,12,"Bean There",5.54,"1321","Monday","L4149","1321","both","11","Engineering"
2014-01-13 13:34:00,2014-01-13,13,13,"Abila Zacharo",27.3,"1321","Monday","L4149","1321","both","11","Engineering"
2014-01-13 20:42:00,2014-01-13,13,20,"Albert Clothing",49.48,"1321","Monday","L4149","1321","both","11","Engineering"
2014-01-14 12:00:00,2014-01-14,14,12,"Bean There",67.82,"1321","Tuesday",NA,"1321","credit","11","Engineering"
2014-01-14 13:51:00,2014-01-14,14,13,"Kalami Kafenion",15.27,"1321","Tuesday","L4149","1321","both","11","Engineering"
2014-01-15 12:00:00,2014-01-15,15,12,"Bean There",18.96,"1321","Wednesday","L4149","1321","both","11","Engineering"
2014-01-15 13:31:00,2014-01-15,15,13,"Ouzeri Elian",36.47,"1321","Wednesday","L4149","1321","both","11","Engineering"
2014-01-15 20:23:00,2014-01-15,15,20,"Hippokampos",10.35,"1321","Wednesday","L4149","1321","both","11","Engineering"
2014-01-16 12:00:00,2014-01-16,16,12,"Bean There",98.34,"1321","Thursday",NA,"1321","credit","11","Engineering"
2014-01-16 13:43:00,2014-01-16,16,13,"Hippokampos",14.89,"1321","Thursday","L4149","1321","both","11","Engineering"
2014-01-16 20:13:00,2014-01-16,16,20,"Hippokampos",29.13,"1321","Thursday","L4149","1321","both","11","Engineering"
2014-01-17 12:00:00,2014-01-17,17,12,"Bean There",18.72,"1321","Friday","L4149","1321","both","11","Engineering"
2014-01-17 13:48:00,2014-01-17,17,13,"Katerina Cafe",13.11,"1321","Friday","L4149","1321","both","11","Engineering"
2014-01-17 19:44:00,2014-01-17,17,19,"Albert Clothing",1239.41,"1321","Friday","L4149","1321","both","11","Engineering"
2014-01-18 13:58:00,2014-01-18,18,13,"Kalami Kafenion",24.14,"1321","Saturday","L4149","1321","both","11","Engineering"
2014-01-18 19:21:00,2014-01-18,18,19,"Hippokampos",21.34,"1321","Saturday",NA,"1321","credit","11","Engineering"
2014-01-19 19:44:00,2014-01-19,19,19,"Hippokampos",88.27,"1321","Sunday",NA,"1321","credit","11","Engineering"
NA,2014-01-08,8,NA,"Bean There",14.96,NA,"Wednesday","L4149","1321","loyalty","11","Engineering"
NA,2014-01-14,14,NA,"Bean There",7.82,NA,"Tuesday","L4149","1321","loyalty","11","Engineering"
NA,2014-01-09,9,NA,"Frydos Autosupply",60.65,NA,"Thursday","L4149","1321","loyalty","11","Engineering"
NA,2014-01-07,7,NA,"Hippokampos",10.19,NA,"Tuesday","L4149","1321","loyalty","11","Engineering"
2014-01-06 12:00:00,2014-01-06,6,12,"Bean There",10.28,"1415","Monday","L7783","1415","both","2","Engineering"
2014-01-06 13:24:00,2014-01-06,6,13,"Guy Gyros",15.44,"1415","Monday","L7783","1415","both","2","Engineering"
2014-01-06 20:46:00,2014-01-06,6,20,"Hippokampos",21.33,"1415","Monday","L7783","1415","both","2","Engineering"
2014-01-07 12:00:00,2014-01-07,7,12,"Bean There",51.25,"1415","Tuesday",NA,"1415","credit","2","Engineering"
2014-01-07 13:20:00,2014-01-07,7,13,"Abila Zacharo",13.52,"1415","Tuesday","L7783","1415","both","2","Engineering"
2014-01-07 20:02:00,2014-01-07,7,20,"Hippokampos",11.56,"1415","Tuesday","L7783","1415","both","2","Engineering"
2014-01-08 12:00:00,2014-01-08,8,12,"Bean There",17.45,"1415","Wednesday","L7783","1415","both","2","Engineering"
2014-01-08 13:34:00,2014-01-08,8,13,"Abila Zacharo",14.41,"1415","Wednesday","L7783","1415","both","2","Engineering"
2014-01-08 19:21:00,2014-01-08,8,19,"Hippokampos",10.52,"1415","Wednesday","L7783","1415","both","2","Engineering"
2014-01-09 12:00:00,2014-01-09,9,12,"Bean There",13,"1415","Thursday","L7783","1415","both","2","Engineering"
2014-01-09 13:43:00,2014-01-09,9,13,"Guy Gyros",74.91,"1415","Thursday",NA,"1415","credit","2","Engineering"
2014-01-10 12:00:00,2014-01-10,10,12,"Bean There",15.39,"1415","Friday","L7783","1415","both","2","Engineering"
2014-01-10 13:35:00,2014-01-10,10,13,"Gelatogalore",26.15,"1415","Friday","L7783","1415","both","2","Engineering"
2014-01-10 19:46:00,2014-01-10,10,19,"Hippokampos",48.22,"1415","Friday",NA,"1415","credit","2","Engineering"
2014-01-11 20:23:00,2014-01-11,11,20,"Hippokampos",70.23,"1415","Saturday","L7783","1415","both","2","Engineering"
2014-01-12 19:29:00,2014-01-12,12,19,"Hippokampos",66.63,"1415","Sunday","L7783","1415","both","2","Engineering"
2014-01-13 12:00:00,2014-01-13,13,12,"Bean There",7.93,"1415","Monday","L7783","1415","both","2","Engineering"
2014-01-13 13:41:00,2014-01-13,13,13,"Gelatogalore",36.93,"1415","Monday","L7783","1415","both","2","Engineering"
2014-01-13 20:42:00,2014-01-13,13,20,"Hippokampos",31.59,"1415","Monday","L7783","1415","both","2","Engineering"
2014-01-14 12:00:00,2014-01-14,14,12,"Bean There",7.28,"1415","Tuesday","L7783","1415","both","2","Engineering"
2014-01-14 13:36:00,2014-01-14,14,13,"Guy Gyros",13.27,"1415","Tuesday",NA,"1415","credit","2","Engineering"
2014-01-14 19:44:00,2014-01-14,14,19,"Hippokampos",39.64,"1415","Tuesday","L7783","1415","both","2","Engineering"
2014-01-15 13:22:00,2014-01-15,15,13,"Guy Gyros",14.37,"1415","Wednesday","L7783","1415","both","2","Engineering"
2014-01-15 19:55:00,2014-01-15,15,19,"Hippokampos",13.02,"1415","Wednesday",NA,"1415","credit","2","Engineering"
2014-01-16 12:00:00,2014-01-16,16,12,"Bean There",19.82,"1415","Thursday","L7783","1415","both","2","Engineering"
2014-01-16 13:36:00,2014-01-16,16,13,"Hippokampos",31.14,"1415","Thursday","L7783","1415","both","2","Engineering"
2014-01-17 08:08:00,2014-01-17,17,8,"Kronos Mart",286.24,"1415","Friday",NA,"1415","credit","2","Engineering"
2014-01-17 12:00:00,2014-01-17,17,12,"Bean There",19.67,"1415","Friday","L7783","1415","both","2","Engineering"
2014-01-17 13:38:00,2014-01-17,17,13,"Ouzeri Elian",14.01,"1415","Friday",NA,"1415","credit","2","Engineering"
2014-01-18 20:11:00,2014-01-18,18,20,"Hippokampos",72.5,"1415","Saturday","L7783","1415","both","2","Engineering"
2014-01-19 20:16:00,2014-01-19,19,20,"Hippokampos",78.96,"1415","Sunday","L7783","1415","both","2","Engineering"
NA,2014-01-07,7,NA,"Bean There",11.25,NA,"Tuesday","L7783","1415","loyalty","2","Engineering"
NA,2014-01-09,9,NA,"Guy Gyros",14.91,NA,"Thursday","L7783","1415","loyalty","2","Engineering"
NA,2014-01-10,10,NA,"Hippokampos",28.22,NA,"Friday","L7783","1415","loyalty","2","Engineering"
NA,2014-01-16,16,NA,"Kronos Mart",286.24,NA,"Thursday","L7783","1415","loyalty","2","Engineering"
2014-01-06 08:01:00,2014-01-06,6,8,"Hallowed Grounds",10.07,"1874","Monday","L4424","1874","both","14","Engineering"
2014-01-06 13:50:00,2014-01-06,6,13,"Katerina Cafe",13.59,"1874","Monday","L4424","1874","both","14","Engineering"
2014-01-06 20:08:00,2014-01-06,6,20,"Katerina Cafe",12.32,"1874","Monday","L4424","1874","both","14","Engineering"
2014-01-07 07:41:00,2014-01-07,7,7,"Hallowed Grounds",19.59,"1874","Tuesday",NA,"1874","credit","14","Engineering"
2014-01-07 13:52:00,2014-01-07,7,13,"Gelatogalore",71.77,"1874","Tuesday",NA,"1874","credit","14","Engineering"
2014-01-07 20:12:00,2014-01-07,7,20,"Katerina Cafe",55.63,"1874","Tuesday",NA,"1874","credit","14","Engineering"
2014-01-08 07:39:00,2014-01-08,8,7,"Hallowed Grounds",8.15,"1874","Wednesday","L4424","1874","both","14","Engineering"
2014-01-08 13:51:00,2014-01-08,8,13,"Guy Gyros",15.86,"1874","Wednesday","L4424","1874","both","14","Engineering"
2014-01-08 21:09:00,2014-01-08,8,21,"Katerina Cafe",27.87,"1874","Wednesday","L4424","1874","both","14","Engineering"
2014-01-09 13:40:00,2014-01-09,9,13,"Abila Zacharo",20.73,"1874","Thursday","L4424","1874","both","14","Engineering"
2014-01-10 07:41:00,2014-01-10,10,7,"Hallowed Grounds",12.03,"1874","Friday","L4424","1874","both","14","Engineering"
2014-01-10 13:59:00,2014-01-10,10,13,"Abila Zacharo",8.22,"1874","Friday","L4424","1874","both","14","Engineering"
2014-01-11 20:46:00,2014-01-11,11,20,"Katerina Cafe",57.6,"1874","Saturday",NA,"1874","credit","14","Engineering"
2014-01-12 14:04:00,2014-01-12,12,14,"Hippokampos",12.57,"1874","Sunday","L4424","1874","both","14","Engineering"
2014-01-12 20:48:00,2014-01-12,12,20,"Katerina Cafe",87.09,"1874","Sunday",NA,"1874","credit","14","Engineering"
