PersID,Name,Veh_ID,Credit,Loyalty,Gender,Department,Appt,Certainty ,FirstName,LastName
1,Nils.Calixto,1,9551,L5777,Male,Info Tech,IT Helpdesk,2b,Nils,Calixto
2,Lars.Azada,2,1415,L7783,Male,Engineering,Engineer,1,Lars,Azada
3,Felix.Balas,3,9635,L3191,Male,Engineering,Engineer,1,Felix,Balas
4,Ingrid.Barranco,4,7688,L4164,Female,Executive,SVP/CFO,1,Ingrid,Barranco
5,Isak.Baza,5,6899,L6267,Male,Info Tech,IT Technician,2b,Isak,Baza
6,Linnea.Bergen,6,7253,L1682,Female,Info Tech,IT Group Manager,2a,Linnea,Bergen
7,Elsa.Orilla,7,2540,L5947,Female,Engineering,Drill Technician,1,Elsa,Orilla
8,Lucas.Alcazar,8,7889,L6119,Male,Info Tech,IT Helpdesk,2a,Lucas,Alcazar
9,Gustav.Cazar,9,1877,L3014,Male,Engineering,Hydraulic Technician,2b,Gustav,Cazar
10,Ada.Campo-Corrente,10,8332,L2070,Female,Executive,SVP/CIO,1,Ada,Campo-Corrente
11,Axel.Calzas,11,1321,L4149,Male,Engineering,Hydraulic Technician,1,Axel,Calzas
12,Hideki.Cocinaro,12,7108,L6544,Male,Security,Site Control,1,Hideki,Cocinaro
13,Inga.Ferro,13,7819,L5259,Female,Security,Site Control,1,Inga,Ferro
14,Lidelse.Dedos,14,1874,L4424,Female,Engineering,Engineering Group Manager,1,Lidelse,Dedos
15,Loreto.Bodrogi,15,3853,L1485,Male,Security,Site Control,1,Loreto,Bodrogi
16,Isia.Vann,16,7354,L9254,Male,Security,Perimeter Control,2a,Isia,Vann
17,Sven.Flecha,17,7384,L3800,Male,Info Tech,IT Technician,2a,Sven,Flecha
18,Birgitta.Frente,18,9617,L5553,Female,Engineering,Geologist,1,Birgitta,Frente
19,Vira.Frente,19,6895,L3366,Female,Engineering,Hydraulic Technician,1,Vira,Frente
20,Stenig.Fusil,20,6816,L8148,Male,Security,Building Control,2a,Stenig,Fusil
21,Hennie.Osvaldo,21,9405,L3259,Male,Security,Perimeter Control,1,Hennie,Osvaldo
22,Adra.Nubarron,22,1286,L3572,Female,Security,Badging Office,2a,Adra,Nubarron
23,Varja.Lagos,23,3484,L2490,Female,Security,Badging Office,1,Varja,Lagos
24,Minke.Mies,24,4434,L2169,Male,Security,Perimeter Control,2a,Minke,Mies
25,Kanon.Herrero,25,2142,L9637,Male,Engineering,Geologist,1,Kanon,Herrero
26,Marin.Onda,26,1310,L8012,Male,Engineering,Drill Site Manager,2a,Marin,Onda
27,Kare.Orilla,27,3492,L7814,Female,Engineering,Drill Technician,2a,Kare,Orilla
28,Isande.Borrasca,28,,,Female,Engineering,Drill Technician,3,Isande,Borrasca
29,Bertrand.Ovan,29,5921 / 3547,L3295 /L9362,Male,Facilities,Facilities Group Manager,2b,Bertrand,Ovan
30,Felix.Resumir,30,6901,L9363,Male,Security,Security Group Manager,2a,Felix,Resumir
31,Sten.Sanjorge Jr.,31,5010,L2459,Male,Executive,President/CEO,1,Sten,Sanjorge Jr.
32,Orhan.Strum,32,8156,L5224,Male,Executive,SVP/COO,1,Orhan,Strum
33,Brand.Tempestad,33,9683,L7291,Male,Engineering,Drill Technician,1,Brand,Tempestad
34,Edvard.Vann,34,4795,L8566,Male,Security,Perimeter Control,1,Edvard,Vann
35,Willem.Vasco-Pais,35,2463,L6886,Male,Executive,Environmental Safety Advisor,2a,Willem,Vasco-Pais
36,Albina.Hafon,,,,Female,Facilities,Truck Driver,4,Albina,Hafon
37,Benito.Hawelon,,,,Male,Facilities,Truck Driver,4,Benito,Hawelon
38,Claudio.Hawelon,,,,Male,Facilities,Truck Driver,4,Claudio,Hawelon
39,Henk.Mies,,,,Male,Facilities,Truck Driver,4,Henk,Mies
40,Adan.Morlun,,,,Male,Facilities,Truck Driver,4,Adan,Morlun
41,Valeria.Morlun,,,,Female,Facilities,Truck Driver,4,Valeria,Morlun
42,Cecilia.Morluniau,,,,Female,Facilities,Truck Driver,4,Cecilia,Morluniau
43,Irene.Nant,,,,Female,Facilities,Truck Driver,4,Irene,Nant
44,Dylan.Scozzese,,,,Male,Facilities,Truck Driver,4,Dylan,Scozzese
45,Anda.Ribera,,,,Female,Administration,Assistant to CFO,,Anda,Ribera
46,Dante.Coginian,,,,Male,Facilities,Lead Janitor,,Dante,Coginian
47,Emile.Arpa,,,,Male,Facilities,Janitor,,Emile,Arpa
48,Varro.Awelon,,,,Male,Facilities,Janitor,,Varro,Awelon
49,Mat.Bramar,,,,Male,Administration,Assistant to CEO,,Mat,Bramar
50,Carla.Forluniau,,,,Female,Administration,Assistant to IT Group Manager,,Carla,Forluniau
51,Linda.Lagos,,,,Female,Administration,Assistant to COO,,Linda,Lagos
52,Cornelia.Lais,,,,Female,Administration,Assistant to Security Group Manager,,Cornelia,Lais
53,Ruscella.Mies Haber,,,,Female,Administration,Assistant to Engineering Group Manager,,Ruscella,Mies Haber
54,Rachel.Pantanal,,,,Female,Administration,Assistant to CIO,,Rachel,Pantanal
