"","last4ccnum","loyaltynum"
"1","1286","L3288"
"2","1286","L3572"
"3","1286",NA
"4","1310","L8012"
"5","1310",NA
"6","1321","L4149"
"7","1321",NA
"8","1415","L7783"
"9","1415",NA
"10","1874","L4424"
"11","1874",NA
"12","1877","L3014"
"13","1877",NA
"14","2142","L9637"
"15","2142",NA
"16","2276","L3317"
"17","2276",NA
"18","2418","L9018"
"19","2418",NA
"20","2463","L6886"
"21","2463",NA
"22","2540","L5947"
"23","2540",NA
"24","2681","L1107"
"25","2681",NA
"26","3484","L2490"
"27","3484",NA
"28","3492","L7814"
"29","3492",NA
"30","3506","L7761"
"31","3506",NA
"32","3547","L9362"
"33","3547",NA
"34","3853","L1485"
"35","3853",NA
"36","4434","L2169"
"37","4434",NA
"38","4530","L8477"
"39","4795","L8566"
"40","4795",NA
"41","4948","L9406"
"42","4948",NA
"43","5010","L2459"
"44","5368","L2247"
"45","5368",NA
"46","5407","L4034"
"47","5407",NA
"48","5921","L3295"
"49","5921",NA
"50","6691","L6267"
"51","6691",NA
"52","6816","L8148"
"53","6816",NA
"54","6895","L3366"
"55","6895",NA
"56","6899","L6267"
"57","6899",NA
"58","6901","L9363"
"59","6901",NA
"60","7108","L6544"
"61","7108",NA
"62","7117","L6417"
"63","7117",NA
"64","7253","L1682"
"65","7253",NA
"66","7354","L9254"
"67","7354",NA
"68","7384","L3800"
"69","7384",NA
"70","7688","L4164"
"71","7688",NA
"72","7792","L5756"
"73","7792",NA
"74","7819","L5259"
"75","7819",NA
"76","7889","L6119"
"77","7889",NA
"78","8129","L8328"
"79","8129",NA
"80","8156","L5224"
"81","8156",NA
"82","8202","L2343"
"83","8202",NA
"84","8332","L2070"
"85","8332",NA
"86","8411","L6110"
"87","8411",NA
"88","8642","L2769"
"89","8642",NA
"90","9152","L5485"
"91","9152",NA
"92","9220","L4063"
"93","9220",NA
"94","9241","L3288"
"95","9241",NA
"96","9405","L3259"
"97","9405",NA
"98","9551","L5777"
"99","9551",NA
"100","9614","L5924"
"101","9614",NA
"102","9617","L5553"
"103","9617",NA
"104","9635","L3191"
"105","9635",NA
"106","9683","L7291"
"107","9683",NA
"108","9735","L9633"
"109","9735",NA
"110",NA,"L1107"
"111",NA,"L1485"
"112",NA,"L1682"
"113",NA,"L2070"
"114",NA,"L2169"
"115",NA,"L2247"
"116",NA,"L2343"
"117",NA,"L2459"
"118",NA,"L2490"
"119",NA,"L2769"
"120",NA,"L3014"
"121",NA,"L3191"
"122",NA,"L3259"
"123",NA,"L3288"
"124",NA,"L3295"
"125",NA,"L3317"
"126",NA,"L3366"
"127",NA,"L3572"
"128",NA,"L3800"
"129",NA,"L4034"
"130",NA,"L4063"
"131",NA,"L4149"
"132",NA,"L4164"
"133",NA,"L4424"
"134",NA,"L5224"
"135",NA,"L5259"
"136",NA,"L5485"
"137",NA,"L5553"
"138",NA,"L5756"
"139",NA,"L5777"
"140",NA,"L5924"
"141",NA,"L5947"
"142",NA,"L6110"
"143",NA,"L6119"
"144",NA,"L6267"
"145",NA,"L6417"
"146",NA,"L6544"
"147",NA,"L6886"
"148",NA,"L7291"
"149",NA,"L7761"
"150",NA,"L7783"
"151",NA,"L7814"
"152",NA,"L8012"
"153",NA,"L8148"
"154",NA,"L8328"
"155",NA,"L8477"
"156",NA,"L8566"
"157",NA,"L9018"
"158",NA,"L9254"
"159",NA,"L9362"
"160",NA,"L9363"
"161",NA,"L9406"
"162",NA,"L9633"
"163",NA,"L9637"
