PersID,Name,FirstName,LastName,Veh_ID,Credit,Loyalty,Gender,Department,Appt
1,Nils.Calixto,Nils,Calixto,1,9551,L5777,Male,Information Technology,IT Helpdesk
2,Lars.Azada,Lars,Azada,2,1415,L7783,Male,Engineering,Engineer
3,Felix.Balas,Felix,Balas,3,9635,L3191,Male,Engineering,Engineer
4,Ingrid.Barranco,Ingrid,Barranco,4,7688,L4164,Female,Executive,SVP/CFO
5,Isak.Baza,Isak,Baza,5,6899,L6267,Male,Information Technology,IT Technician
6,Linnea.Bergen,Linnea,Bergen,6,7253,L1682,Female,Information Technology,IT Group Manager
7,Elsa.Orilla,Elsa,Orilla,7,2540,L5947,Female,Engineering,Drill Technician
8,Lucas.Alcazar,Lucas,Alcazar,8,7889,L6119,Male,Information Technology,IT Helpdesk
9,Gustav.Cazar,Gustav,Cazar,9,1877,L3014,Male,Engineering,Hydraulic Technician
10,Ada.Campo-Corrente,Ada,Campo-Corrente,10,8332,L2070,Female,Executive,SVP/CIO
11,Axel.Calzas,Axel,Calzas,11,1321,L4149,Male,Engineering,Hydraulic Technician
12,Hideki.Cocinaro,Hideki,Cocinaro,12,7108,L6544,Male,Security,Site Control
13,Inga.Ferro,Inga,Ferro,13,7819,L5259,Female,Security,Site Control
14,Lidelse.Dedos,Lidelse,Dedos,14,1874,L4424,Female,Engineering,Engineering Group Manager
15,Loreto.Bodrogi,Loreto,Bodrogi,15,3853,L1485,Male,Security,Site Control
16,Isia.Vann,Isia,Vann,16,7354,L9254,Male,Security,Perimeter Control
17,Sven.Flecha,Sven,Flecha,17,7384,L3800,Male,Information Technology,IT Technician
18,Birgitta.Frente,Birgitta,Frente,18,9617,L5553,Female,Engineering,Geologist
19,Vira.Frente,Vira,Frente,19,6895,L3366,Female,Engineering,Hydraulic Technician
20,Stenig.Fusil,Stenig,Fusil,20,6816,L8148,Male,Security,Building Control
21,Hennie.Osvaldo,Hennie,Osvaldo,21,9405,L3259,Male,Security,Perimeter Control
22,Adra.Nubarron,Adra,Nubarron,22,1286,L3572,Female,Security,Badging Office
23,Varja.Lagos,Varja,Lagos,23,3484,L2490,Female,Security,Badging Office
24,Minke.Mies,Minke,Mies,24,4434,L2169,Male,Security,Perimeter Control
25,Kanon.Herrero,Kanon,Herrero,25,2142,L9637,Male,Engineering,Geologist
26,Marin.Onda,Marin,Onda,26,1310,L8012,Male,Engineering,Drill Site Manager
27,Kare.Orilla,Kare,Orilla,27,3492,L7814,Female,Engineering,Drill Technician
28,Isande.Borrasca,Isande,Borrasca,28,,,Female,Engineering,Drill Technician
29,Bertrand.Ovan,Bertrand,Ovan,29,5921 / 3547,L3295 /L9362,Male,Facilities,Facilities Group Manager
30,Felix.Resumir,Felix,Resumir,30,6901,L9363,Male,Security,Security Group Manager
31,Sten.Sanjorge Jr.,Sten,Sanjorge Jr.,31,5010,L2459,Male,Executive,President/CEO
32,Orhan.Strum,Orhan,Strum,32,8156,L5224,Male,Executive,SVP/COO
33,Brand.Tempestad,Brand,Tempestad,33,9683,L7291,Male,Engineering,Drill Technician
34,Edvard.Vann,Edvard,Vann,34,4795,L8566,Male,Security,Perimeter Control
35,Willem.Vasco-Pais,Willem,Vasco-Pais,35,2463,L6886,Male,Executive,Environmental Safety Advisor
36,Albina.Hafon,Albina,Hafon,,,,Female,Facilities,Truck Driver
37,Benito.Hawelon,Benito,Hawelon,,,,Male,Facilities,Truck Driver
38,Claudio.Hawelon,Claudio,Hawelon,,,,Male,Facilities,Truck Driver
39,Henk.Mies,Henk,Mies,,,,Male,Facilities,Truck Driver
40,Adan.Morlun,Adan,Morlun,,,,Male,Facilities,Truck Driver
41,Valeria.Morlun,Valeria,Morlun,,,,Female,Facilities,Truck Driver
42,Cecilia.Morluniau,Cecilia,Morluniau,,,,Female,Facilities,Truck Driver
43,Irene.Nant,Irene,Nant,,,,Female,Facilities,Truck Driver
44,Dylan.Scozzese,Dylan,Scozzese,,,,Male,Facilities,Truck Driver
45,Anda.Ribera,Anda,Ribera,,,,Female,Administration,Assistant to CFO
46,Dante.Coginian,Dante,Coginian,,,,Male,Facilities,Lead Janitor
47,Emile.Arpa,Emile,Arpa,,,,Male,Facilities,Janitor
48,Varro.Awelon,Varro,Awelon,,,,Male,Facilities,Janitor
49,Mat.Bramar,Mat,Bramar,,,,Male,Administration,Assistant to CEO
50,Carla.Forluniau,Carla,Forluniau,,,,Female,Administration,Assistant to IT Group Manager
51,Linda.Lagos,Linda,Lagos,,,,Female,Administration,Assistant to COO
52,Cornelia.Lais,Cornelia,Lais,,,,Female,Administration,Assistant to Security Group Manager
53,Ruscella.Mies Haber,Ruscella,Mies Haber,,,,Female,Administration,Assistant to Engineering Group Manager
54,Rachel.Pantanal,Rachel,Pantanal,,,,Female,Administration,Assistant to CIO
