"","last4ccnum","loyaltynum"
"1","1286","L3288"
"2","1286","L3572"
"3","1310","L8012"
"4","1321","L4149"
"5","1415","L7783"
"6","1874","L4424"
"7","1877","L3014"
"8","2142","L9637"
"9","2276","L3317"
"10","2418","L9018"
"11","2463","L6886"
"12","2540","L5947"
"13","2681","L1107"
"14","3484","L2490"
"15","3492","L7814"
"16","3506","L7761"
"17","3547","L9362"
"18","3853","L1485"
"19","4434","L2169"
"20","4530","L8477"
"21","4795","L2070"
"22","4795","L8566"
"23","4948","L3295"
"24","4948","L9406"
"25","5010","L2459"
"26","5368","L2247"
"27","5368","L6119"
"28","5407","L4034"
"29","5921","L3295"
"30","5921","L9406"
"31","6691","L6267"
"32","6816","L8148"
"33","6895","L3366"
"34","6899","L6267"
"35","6901","L9363"
"36","7108","L6544"
"37","7117","L6417"
"38","7253","L1682"
"39","7354","L9254"
"40","7384","L3800"
"41","7688","L4164"
"42","7792","L5756"
"43","7819","L5259"
"44","7889","L2247"
"45","7889","L6119"
"46","8129","L8328"
"47","8156","L5224"
"48","8202","L2343"
"49","8332","L2070"
"50","8332","L8566"
"51","8411","L6110"
"52","8642","L2769"
"53","9152","L5485"
"54","9220","L4063"
"55","9241","L3288"
"56","9405","L3259"
"57","9551","L5777"
"58","9614","L5924"
"59","9617","L5553"
"60","9635","L3191"
"61","9683","L7291"
"62","9735","L9633"
