"","last4ccnum","loyaltynum"
"1","1286","L3288"
"2","1286","L3572"
"3","1310","L8012"
"4","1321","L4149"
"5","1415","L7783"
"6","1874","L4424"
"7","1877","L3014"
"8","2142","L9637"
"9","2276","L3317"
"10","2418","L9018"
"11","2463","L6886"
"12","2540","L5947"
"13","2681","L1107"
"14","3484","L2490"
"15","3492","L7814"
"16","3506","L7761"
"17","3547","L9362"
"18","3853","L1485"
"19","4434","L2169"
"20","4530","L8477"
"21","4795","L8566"
"22","4948","L9406"
"23","5010","L2459"
"24","5368","L2247"
"25","5407","L4034"
"26","5921","L3295"
"27","6691","L6267"
"28","6816","L8148"
"29","6895","L3366"
"30","6899","L6267"
"31","6901","L9363"
"32","7108","L6544"
"33","7117","L6417"
"34","7253","L1682"
"35","7354","L9254"
"36","7384","L3800"
"37","7688","L4164"
"38","7792","L5756"
"39","7819","L5259"
"40","7889","L6119"
"41","8129","L8328"
"42","8156","L5224"
"43","8202","L2343"
"44","8332","L2070"
"45","8411","L6110"
"46","8642","L2769"
"47","9152","L5485"
"48","9220","L4063"
"49","9241","L3288"
"50","9405","L3259"
"51","9551","L5777"
"52","9614","L5924"
"53","9617","L5553"
"54","9635","L3191"
"55","9683","L7291"
"56","9735","L9633"
